"","X","id","pname","gender","fname","canonical_fname","oname","born_on_year","begin_on_year","begin_on_month","begin_on_day","end_on_year","end_on_month","end_on_day","nationality","fname_code"
"4710",20609,13704,"Tulio Franco Franco",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Eighth Ordinary Session of the Assembly",1889,NA,NA,NA,NA,NA,NA,"",NA
"4711",20610,13704,"Tulio Franco Franco",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Ninth Ordinary Session of Assembly",1889,NA,NA,NA,NA,NA,NA,"",NA
"4712",20611,13705,"Reyes Guerra",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Twelfth Ordinary Session of the Assembly",NA,NA,NA,NA,NA,NA,NA,"",NA
"4713",20612,13706,"Jose Gustavo Guerrero",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: First Ordinary Session of the Assembly",1876,NA,NA,NA,NA,NA,NA,"",NA
"4714",20613,13706,"Jose Gustavo Guerrero",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Fourth Ordinary Session of the Assembly",1876,NA,NA,NA,NA,NA,NA,"",NA
"4715",20614,13706,"Jose Gustavo Guerrero",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Fifth Ordinary Session of the Assembly",1876,NA,NA,NA,NA,NA,NA,"",NA
"4716",20615,13706,"Jose Gustavo Guerrero",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Sixth Ordinary Session of the Assembly",1876,NA,NA,NA,NA,NA,NA,"",NA
"4717",20616,13706,"Jose Gustavo Guerrero",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Special Session of the Assembly",1876,NA,NA,NA,NA,NA,NA,"",NA
"4718",20617,13706,"Jose Gustavo Guerrero",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Seventh Ordinary Session of the Assembly",1876,NA,NA,NA,NA,NA,NA,"",NA
"4719",20618,13706,"Jose Gustavo Guerrero",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Eighth Ordinary Session of the Assembly",1876,NA,NA,NA,NA,NA,NA,"",NA
"4720",20619,13706,"Jose Gustavo Guerrero",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Ninth Ordinary Session of Assembly",1876,NA,NA,NA,NA,NA,NA,"",NA
"4721",20620,13706,"Jose Gustavo Guerrero",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Tenth Ordinary Session of the Assembly",1876,NA,NA,NA,NA,NA,NA,"",NA
"4722",20621,13706,"Jose Gustavo Guerrero",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Eleventh Ordinary Session of the Assembly",1876,NA,NA,NA,NA,NA,NA,"",NA
"4723",20622,13707,"Auguste J. Schmidt",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Seventh Ordinary Session of the Assembly",1895,NA,NA,NA,NA,NA,NA,"",NA
