"","name","avg_rank","sd_rank","median_rank","duration","entry_age","gender","nationality"
"1129","Major Vittorio Marchesi",4,0,4,19,35,"male","italian"
"1130","Ludovica Marchet",6.5,0.707106781186548,6.5,74,22,"female","austrian"
"1131","Berthe Thérèse Maroon",8,0,8,9,25,"female","italian"
"1132","Jacqueline Mathilde Maret",6,0,6,8,24,"female","swiss"
"1133","Beatrice Kate Snell",6,0,6,2,56,"female","english"
"1134","Robert Margot",7,0,7,20,24,"male","swiss"
"1135","A. Margueron",7,0,7,2,NA,"female","unknown"
"1136","Céline  Marini",9,0,9,1,32,"female","swiss"
"1137","Belle Williams",6,0,6,39,24,"female","english"
"1138","Bertha Grace Alexander",6,0,6,-2,34,"female","english"
"1139","Bessie Tapper",6,0,6,3,34,"female","english"
"1140","Hamilton Marr",3,0,3,19,29,"male","english"
"1141","Robert Miller Marshall",6,0,6,19,59,"male","english"
"1142","Betty Lascelles Arne",6,0,6,1,29,"female","english"
"1143","Captain Blennerhassett",3,0,3,2,NA,"male","english"
"1144","Catherine  McMahon Trowell",8,0,8,1,NA,"female","english"
"1145","Catherine Simpson",6,0,6,7,29,"female","english"
"1146","Catherine Turner Mcintyre",6,0,6,-3,31,"female","english"
"1147","Mr. Morikatsu Imagaki",3.33333333333333,2.3094010767585,2,148,31,"male","unknown"
"1148","Cecily Graham Babington",5.6,0.894427190999916,6,323,23,"female","english"
"1149","Renée  Marti",8,1.73205080756888,9,2,48,"female","swiss,swiss, swiss"
"1150","Esther Martin",6.42857142857143,0.534522483824849,6,37,19,"female","swiss"
"1151","Gustave Martin",2,0,2,11,NA,"male","swiss"
"1152","Lucie Isabelle Jeanne Martin-Rose",3,0,3,19,22,"female","french"
"1153","Paul Martin",7,0,7,14,23,"male","swiss"
"1154","Marie Louise Martinaud",9,0,9,8,34,"female","french"
"1155","Alfred Charles Mason",3,0,3,7,40,"male","english"
"1156","Calliope Massey",3,0,3,5,28,"female","english"
"1157","Louis Massignon",3,0,3,39,NA,"male","french"
"1158","Major Maurice Noel Mathenet",4,0,4,117,34,"male","french"
"1159","Theobald Mathew",3,0,3,3,26,"male","english"
"1160","Germain René Mathez",9,0,9,1,22,"male","swiss"
"1161","Cecilia Mary Mathieu née Staunton",7.5,1,8,111,23,"female","french"
"1162","Georges Louis Clement Jean Mathieu",3,0,3,182,28,"male","french"
"1163","Marie-Juditts Mathieux",7,0,7,24,30,"female","unknown"
"1164","Charlotte Louise Bridger",6,0,6,6,39,"female","english"
"1165","Marthe Mathyer",9,0,9,39,26,"female","swiss"
"1166","Iwan Edouard Matile",8,1.4142135623731,8,4,20,"male","swiss"
"1167","Colonel Attilio Matricardi",4,0,4,22,41,"male","italian"
"1168","Marius Mattei",6,0,6,1,53,"male","swiss"
"1169","Marcel Charles Maumary",7,0,7,55,20,"male","swiss"
"1170","Elie Maurer",9,0,9,13,35,"male","swiss"
"1171","Jean Charles Maurer",6,0,6,183,23,"male","swiss"
"1172","Ernestine Maurice",6,0,6,119,27,"female","swiss"
"1173","Julia Beith Gardner",6,0,6,12,26,"female","british"
"1174","Christine Chisholm",6,0,6,1,32,"female","english"
"1175","Gladys Beatrice Mawdesley",6,0,6,11,29,"female","english"
"1176","William David May",5,0,5,1,61,"male","english"
"1177","Suzanne Mayer",6,0,6,8,20,"female","swiss"
"1178","David Macrum Maynard",6,0,6,8,NA,"male","us-american"
"1179","Sergeant Frank Victor Maynard",8,0,8,1,NA,"male","english"
"1180","Aloys Mayor",5,0,5,23,39,"male","swiss"
"1181","Edouard Gustave Mayor",7,0,7,52,21,"male","swiss"
"1182"," Genevieve Jeanne Leonie Mayor",4,0,4,227,24,"female","french"
"1183","Henri Mayor",9,0,9,1,36,"male","swiss"
"1184","Christine Hendrie McAulay",6,0,6,1,23,"female","english"
"1185","Christine Mary  Wilkes",8,0,8,42,21,"female","english"
"1186","Louise Aimée Mayras",5.8,0.447213595499958,6,-1,30,"female","french"
"1187","Christine Bertha Margarethe Mayrhofer",5.25,1.5,5,217,36,"female","austrian"
"1188","Marguerite Berthe Catherine Mayrhofer",6,0,6,1,44,"female","austrian"
"1189","Eunice Isabel Melville Meekison",6,0,6,6,38,"female","canadian"
"1190","Clara Slee née Baumann",5.83333333333333,0.389249472080761,6,293,43,"female","english"
"1191","Eva Augusta Maria Ghislaine Mazy",6,0,6,184,34,"female","unknown"
"1192","Colin Tremaine Wright",6,0,6,49,35,"male","english"
"1193","Cornelia Anna van der Meer",7,0,7,1,21,"female","dutch"
"1194","Marianne Meerwein",6,0,6,12,24,"female","swiss"
"1195","D. Megevand",6,0,6,1,NA,"female","unknown"
"1196","Juliette Mehlin",7,0,7,1,29,"female","swiss"
"1197","Jane Meichtry",6,0,6,1,21,"female","swiss"
"1198","Emile Oscar Meier",5,0,5,218,41,"male","swiss"
"1199","Jean Ernest Meier",5,0,5,21,61,"male","swiss"
"1200","Juliette Carmen Meier",7,0,7,47,24,"female","swiss"
"1201","Alphonse Meirlean",9,0,9,1,47,"male","unknown"
"1202","Yulau Tcheng",5,1.4142135623731,5,125,22,"male","chinese"
"1203","Georges Meisterlein",8,1.4142135623731,8,209,NA,"male","swiss,swiss"
"1204","Constance Dorothy Thomas",6,0,6,12,43,"female","english"
"1205","Constance Sylvia Spencer",6,0,6,1,20,"female","english"
"1206","D. M.  Hunt",6,0,6,1,NA,"female","english"
"1207","Daphne Elisabeth Shelmerdine",6,0,6,1,26,"female","english"
"1208","Mrs. Phyllis Warlters van Ittersum, née Horne",6,0,6,310,25,"female","dutch"
"1209","Elisabeth Petronella  Koster",6,0,6,132,35,"female","dutch"
"1210","Charles Francis Darlington",6,0,6,32,25,"male","us-american"
"1211","Paul Meisterlein",7,0,7,12,22,"male","swiss"
"1212","David Lewis Sasieni",5,0,5,3,59,"male","english"
"1213","Mr. Warrar Irvin",3,0,3,NA,NA,"male","us-american"
"1214","Georges Silvain François Charles Kaeckenbeeck",2,0,2,NA,NA,"male","unknown"
"1215","David Storrar Meldrum",6,0,6,101,16,"male","english"
"1216","Louis Darphin",9,0,9,4,57,"male","swiss"
"1217","Dora Hallas Rawcliffe",6,0,6,36,22,"female","english"
"1218","H. de Régny Irving",3,0,3,1,NA,"male","english"
"1219","Claude von Kaenel",7,0,7,1,22,"male","swiss"
"1220","Annie Eggenschwiler, née Ramakers",8,0,8,159,25,"female","dutch,swiss"
"1221","Miss Elsa Irzik",7,0,7,28,27,"female","swiss"
"1222","T. Meras",6,0,6,1,NA,"female","french"
"1223","Waldo Boris Kahan",5,0,5,3,20,"male","british"
"1224","Maud Dauphin",6,0,6,1,NA,"female","french"
"1225","Thérèse Merat-Pedroletti",6.75,0.5,7,25,34,"female","swiss"
"1226","Louis Egger",9,0,9,1,32,"male","swiss"
