"name","avg_rank","sd_rank","median_rank","duration","entry_age","gender","nationality"
"John Lindgren",2,0,2,1,NA,"male","swedish"
"Karel Lisicky",2,0,2,42,41,"male","czech"
"Edward Mayor Hastings Lloyd",2,0,2,27,30,"male","british"
"Godfrey Isaac Howard Lloyd",2,0,2,23,60,"male","british"
"José Pla",2,0,2,208,NA,"male","spanish"
"Luis Agustin Podesta Costa",1.5,0.707106781186548,1.5,1,NA,"male","argentinian"
"Giuseppe Lo Verde",2,0,2,1,NA,"male","italian"
"Alexander Loveday",1.25,0.5,1,253,31,"male","british"
"Branko Lukac",1.5,0.707106781186548,1.5,206,35,"male","yugoslav"
"Eméric Polgar",2,0,2,1,NA,"male","hungarian"
"Georges Djura Popovitch",2,0,2,120,NA,"male","yugoslav"
"G. Lupkovics",2,0,2,1,NA,"male","hungarian"
"José H. Porto",2,0,2,24,NA,"male","argentinian"
"Lorenzo Luzuriaga",2,0,2,1,NA,"male","spanish"
"Gerasimos Lynchos",2,0,2,NA,NA,"male","greek"
"Georg F. Preihs",2.5,0.707106781186548,2.5,159,NA,"male","austrian"
"Marcel Henri Prevost",2,0,2,1,NA,"male","french"
"Alexander Przychowsky",2,0,2,1,NA,"male","german"
"Abdu Aziz Puri",2,0,2,1,NA,"male","indian"
"Renato Prunas",2,0,2,24,NA,"male","italian"
"Horet Kadereit",2,0,2,1,NA,"male","danziger"
"Georges Silvain François Charles Kaeckenheeck",2,0,2,34,27,"male","unknown"
"Dr. Henrik Kaestlin",2,0,2,1,NA,"male","swiss"
"Dr. Nag Kalidas",2,0,2,1,NA,"male","indian"
"H. V. Kaltenborn",2,0,2,1,NA,"male","german"
"Viktorias Kamantanskas",2,0,2,1,NA,"male","lithuanian"
"Chester Purves",2.75,0.5,3,188,NA,"male","english"
"Wladimiar Karakacheff",2,0,2,191,33,"male","bulgarian"
"Dr. Jiri Kasparek",2,0,2,1,NA,"male","czech"
"Bhagirath Nath Kaul",2,0,2,59,38,"male","indian"
"Moschfegh Kazemi",2,0,2,8,NA,"male","iranian"
"E. Keller",2,0,2,1,NA,"female","swiss"
"Clovis Kernisan",3,1.4142135623731,3,1,47,"male","haitian"
"Ivan Kerno",2,0,2,72,37,"male","czech"
"Awni Khalidy",2,0,2,1,26,"male","iraqi"
"Dr. Arthur Kiessling",2,0,2,1,NA,"male","german"
"Ella Kirsipuu",2,0,2,1,NA,"female","estonian"
"L. C. Klein",2,0,2,1,NA,"male","french"
"Siu Kong-Sou",2,0,2,1,NA,"male","chinese"
"Tjalling Koopmans",2,0,2,27,28,"male","dutch"
"Dr. A. A. Koskenjaakko",2,0,2,1,NA,"male","norwegian"
"Hans-Ulrich von Kotze",2,0,2,29,39,"male","german"
"Ludwig Thorwald de Krabbe",2,0,2,56,37,"male","dane"
"Pipat Krairiksh",2,0,2,1,NA,"male","siamese"
"Dr.  Gerhard Krassa",2,0,2,1,NA,"male","austrian"
"Dr. Wolfgang Krauel",2,0,2,4,44,"male","german"
"Jean Pierre Kremer",2,0,2,104,28,"male","luxembourgish"
"Georges Kriwochieff",2,0,2,1,NA,"male","bulgarian"
"Miroslav Antonin Kriz",2,0,2,68,28,"male","czech"
"Kamal Kumar",6,0,6,179,25,"male","indian"
"Minni Kurs-Olesk",2,0,2,1,NA,"female","estonian"
"Ernest W. H. Jackman",2,0,2,39,NA,"male","british"
"Per Jacobsson",2,0,2,104,26,"male","swedish"
"Eric Ibbetson James",2.5,1.22474487139159,2,48,32,"male","british"
"Visvaldis Jankaus",2,0,2,1,NA,"male","latvian"
"Elisabeth Janstein",2,0,2,1,NA,"female","french"
"Dr. Konstantin Jelinek",2,0,2,1,NA,"male","czech"
"Thomas Frank Johnson",1.5,0.707106781186548,1.5,120,34,"male","british"
"Agnes Jorgensen",2,0,2,1,NA,"female","norwegian"
